name,CAS,Pd,Fe,Hiyama Coupling,Cross Couplings,Buchwald-Hartwig Cross Coupling Reaction,Acetylations,Coupling Reactions,Stille Coupling,Sonogashira Coupling,Suzuki-Miyaura Coupling,solution phase peptide synthesis,Heck Reaction,Negishi Coupling
Triphenylphosphine,603-35-0,,,1,,1,,,1,1,1,,1,1
XPhos,564483-18-7,,,,1,,,,,,,,,
Xantphos,161265-03-8,,,,1,,,,,,,,,
XPhos Pd G3,1445085-55-1,1,,1,,1,,,1,1,1,,1,1
XPhos Pd G2,1310584-14-5,1,,1,,1,,,1,1,1,,1,1
Trioctylphosphine,4731-53-7,,,1,,1,,,1,1,1,,1,1
tBuBrettPhos Pd G3,1536473-72-9,1,,1,,1,,,1,1,1,,1,1
Triphenylphosphine oxide,791-28-6,,,,,,,,,,,,,
Tricyclohexylphosphine,2622-14-2,,,,1,,,,,,,,,
Trioctylphosphine oxide,78-50-2,,,1,,1,,,1,1,1,,1,1
RuPhos,787618-22-8,,,,1,,,,,,,,,
Bis(di-tert-butyl(4-dimethylaminophenyl)phosphine)dichloropalladium(II),887919-35-9,1,,1,,1,,,1,1,1,,1,1
BrettPhos Pd G3,1470372-59-8,1,,1,,1,,,1,1,1,,1,1
cataCXium® A Pd G3,1651823-59-4,1,,1,,1,,,1,1,1,,1,1
DPPF,12150-46-8,,1,,,,,,,,,,,
Tri-tert-butylphosphine,13716-12-6,,,,1,,,,,,,,,
rac-BINAP,98327-87-8,,,,,,,,,,,,,
XantPhos Pd G3,1445085-97-1,1,,1,,1,,,1,1,1,,1,1
SPhos,657408-07-6,,,1,1,1,,,1,1,1,,1,1
RuPhos Pd G3,1445085-77-7,1,,1,,1,,,1,1,1,,1,1
XPhos Pd G4,1599466-81-5,1,,1,,1,,,1,1,1,,1,1
cataCXium® A,321921-71-5,,,,,,,,,,,,,
tBuXPhos Pd G3,1447963-75-8,1,,1,,1,,,1,1,1,,1,1
Tri(o-tolyl)phosphine,6163-58-2,,,,1,,,,,,,,,
SPhos Pd G3,1445085-82-4,1,,1,,1,,,1,1,1,,1,1
tBuXPhos,564483-19-8,,,,1,,,,,,,,,
tBuBrettPhos,1160861-53-9,,,,1,,,,,,,,,
BrettPhos,1070663-78-3,,,,1,,,,,,,,,
Tri-tert-butylphosphonium tetrafluoroborate,131274-22-1,,,,1,,,,,,,,,
RuPhos Pd G4,1599466-85-9,1,,1,,1,,,1,1,1,,1,1
JohnPhos,224311-51-7,,,,1,,,,,,,,,
Trimethylphosphine,594-09-2,,,1,,1,,,1,1,1,,1,1
"Triphenylphosphine, polymer-bound",39319-11-4,,,1,,1,,,1,1,1,1,1,1
Tributylphosphine,998-40-3,,,1,,1,,,1,1,1,,1,1
DavePhos,213697-53-1,,,,1,,,,,,,,,
BrettPhos Pd G4,1599466-83-7,1,,1,,1,,,1,1,1,,1,1
cataCXium Pd G4,2230788-67-5,1,,1,,1,,,1,1,1,,1,1
Bis(triphenylphosphine)palladium(II) dichloride,13965-03-2,1,,1,,1,,,1,1,1,,1,1
Tris(dimethylamino)phosphine,1608-26-0,,,,,,,,,,,,,
Tris(diethylamino)phosphine,2283-11-6,,,1,,1,,,1,1,1,,1,1
SPhos Pd G2,1375325-64-6,1,,1,,1,,,1,1,1,,1,1
CyJohnPhos,247940-06-3,,,,1,,,,,,,,,
Tricyclohexylphosphine tetrafluoroborate,58656-04-5,,,,1,,,,,,,,,
P(t-Bu)3 Pd G2,1375325-71-5,1,,1,,1,,,1,1,1,,1,1
RuPhos Pd G2,1375325-68-0,1,,1,,1,,,1,1,1,,1,1
rac-BINAP-Pd-G3,2151915-22-7,1,,1,,1,,,1,1,1,,1,1
Tri(2-furyl)phosphine,5518-52-5,,,,,,,,,,,,,
(R)-1-[(SP)-2-(Dicyclohexylphosphino)ferrocenyl]ethyldi-tert-butylphosphine,158923-11-6,,1,1,,1,,,1,1,1,,1,1
Josiphos SL-J009-1 Pd G3,1702311-34-9,1,1,1,,1,,,1,1,1,,1,1
SPhos Pd G4,1599466-87-1,1,,1,,1,,,1,1,1,,1,1
APhos,932710-63-9,,,1,,1,,,1,1,1,,1,1
Tris(4-methoxyphenyl)phosphine,855-38-9,,,1,,1,,,1,1,1,,1,1
Me4tButylXphos,857356-94-6,,,,1,,,,,,,,,
AdBrettPhos Pd G3,1445972-29-1,1,,1,,1,,,1,1,1,,1,1
P(t-Bu)3 Pd G4,1621274-11-0,1,,1,,1,,,1,1,1,,1,1
XantPhos Pd G4,1621274-19-8,1,,1,,1,,,1,1,1,,1,1
Bis(p-sulfonatophenyl)phenylphosphine dihydrate dipotassium salt,308103-66-4,,,,,,,,,,,,,
RockPhos Pd G3,2009020-38-4,1,,1,,1,,,1,1,1,,1,1
DTBPF,84680-95-5,,1,,,,,,,,,,,
Dimethylphenylphosphine,672-66-2,,,1,,1,,,1,1,1,,1,1
"1,2,3,4,5-Pentaphenyl-1′-(di-tert-butylphosphino)ferrocene",312959-24-3,,1,,,,,,,,,,,
Triethylphosphine oxide,597-50-2,,,1,,1,,,1,1,1,,1,1
"1,3,5-Triaza-7-phosphaadamantane",53597-69-6,,,,,,,,,,,,,
Tris(trimethylsilyl)phosphine,15573-38-3,,,1,,1,,,1,1,1,,1,1
Tris(hydroxymethyl)phosphine,2767-80-8,,,1,,1,,,1,1,1,,1,1
Tributylphosphine oxide,814-29-9,,,1,,1,,,1,1,1,,1,1
Tris(4-fluorophenyl)phosphine,18437-78-0,,,1,,1,,,1,1,1,,1,1
JackiePhos,1160861-60-8,,,,1,,,,,,,,,
Methyldiphenylphosphine,1486-28-8,,,1,,1,,,1,1,1,,1,1
Tris(pentafluorophenyl)phosphine,1259-35-4,,,1,,1,,,1,1,1,,1,1
cataCXium® A Pd G2,1375477-29-4,1,,1,,1,,,1,1,1,,1,1
"5-(Di-tert-butylphosphino)-1′, 3′, 5′-triphenyl-1′H-[1,4′]bipyrazole",894086-00-1,,,,1,,,,,,,,,
Triethylphosphine solution,554-70-1,,,,,,,,,,,,,
4-(Diphenylphosphino)benzoic acid,2129-31-9,,,1,,1,,,1,1,1,,1,1
TrixiePhos,255836-67-0,,,1,,1,,,1,1,1,,1,1
KitAlysis™ High-Throughput Miyaura Borylation Reaction Screening Kit-Pack of 2,not found,,,1,1,1,,,1,1,1,,1,1
EPhos Pd G4,2132978-44-8,1,,1,,1,,,1,1,1,,1,1
Cyclohexyldiphenylphosphine,6372-42-5,,,1,,1,,,1,1,1,,1,1
Diphenyl-2-pyridylphosphine,37943-90-1,,,,,,,,,,,,,
DavePhos-Pd-G3,1445085-87-9,1,,1,,1,,,1,1,1,,1,1
2-(Diphenylphosphino)ethylamine,4848-43-5,,,1,,1,,,1,1,1,,1,1
Di-1-adamantylphosphine,131211-27-3,,,1,,1,,,1,1,1,,1,1
AdCyBrettPhos,2197989-24-3,,,1,,1,,,1,1,1,,1,1
"1,3-Bis(dicyclohexylphosphino)propane bis(tetrafluoroborate)",1002345-50-7,,,1,,1,,,1,1,1,,1,1
2-(Diphenylphosphino)benzoic acid,17261-28-8,,,1,,1,,,1,1,1,,1,1
XantPhos-Pd-G2,1375325-77-1,1,,1,,1,,,1,1,1,,1,1
Ephos,2118959-55-8,,,1,,1,,,1,1,1,,1,1
"1,3,5,7-Tetramethyl-6-phenyl-2,4,8-trioxa-6-phosphaadamantane",97739-46-3,,,1,,1,,,1,1,1,,1,1
CPhos,1160556-64-8,,,1,,1,,,1,1,1,,1,1
"Tris(2,4,6-trimethylphenyl)phosphine",23897-15-6,,,1,,1,,,1,1,1,,1,1
sSPhos,1049726-96-6,,,,1,,,,,,,,,
AdBrettPhos,1160861-59-5,,,1,,1,,,1,1,1,,1,1
P(Cy3) Pd G3,1445086-12-3,1,,1,,1,,,1,1,1,,1,1
2-(Diphenylphosphino)benzaldehyde,50777-76-9,,,1,,1,,,1,1,1,,1,1
MePhos,251320-86-2,,,,,,,,,,,,,
"Di-tert-butyl N,N-diisopropylphosphoramidite",137348-86-8,,,1,,1,,,1,1,1,,1,1
tBuXPhos Pd G1,1142811-12-8,1,,1,,1,,,1,1,1,,1,1
Tri-1-naphthylphosphine,3411-48-1,,,1,,1,,,1,1,1,,1,1
Di(1-adamantyl)-2-dimethylaminophenylphosphine,1219080-77-9,,,,,,,,,,,,,
"Tris(2,4,6-trimethoxyphenyl)phosphine",91608-15-0,,,1,,1,,,1,1,1,,1,1
CPhos Pd G4,1810068-32-6,1,,1,,1,,,1,1,1,,1,1
"1,1′-Bis(dicyclohexylphosphino)ferrocene",146960-90-9,,1,1,,1,,,1,1,1,,1,1
Tris(4-chlorophenyl)phosphine,1159-54-2,,,1,,1,,,1,1,1,,1,1
4-(Diphenylphosphino)styrene,40538-11-2,,,1,,1,,,1,1,1,,1,1
